Anio,Mes,Dia,Hora,TotalGeneradas,TotalCanceladas,TotalCanceladasConCupones,TotalNoCanceladasConCupones,TotalNoCanceladasSinCupones
2015,1,1,0,166,8,0,0,158
2015,1,1,1,117,10,0,1,106
2015,1,1,2,98,3,0,0,95
2015,1,1,3,103,5,0,0,98
2015,1,1,4,108,9,1,1,98
2015,1,1,5,70,4,0,0,66
2015,1,1,6,84,9,0,1,74
2015,1,1,7,71,1,0,2,68
2015,1,1,8,28,1,0,0,27
2015,1,1,9,30,1,0,0,29
2015,1,1,10,44,2,0,1,41
2015,1,1,11,91,7,0,0,84
2015,1,1,12,156,12,0,1,143
2015,1,1,13,232,15,0,0,217
2015,1,1,14,329,23,0,1,305
2015,1,1,15,325,17,1,0,308
2015,1,1,16,328,23,2,2,303
2015,1,1,17,364,18,1,2,344
2015,1,1,18,453,31,3,0,422
2015,1,1,19,439,20,0,1,418
2015,1,1,20,371,16,1,0,355
2015,1,1,21,483,43,0,1,439
2015,1,1,22,506,35,0,2,469
2015,1,1,23,557,31,1,4,522
2015,1,2,0,500,21,2,3,476
2015,1,2,1,605,22,1,1,582
2015,1,2,2,441,26,0,3,412
2015,1,2,3,318,16,0,1,301
2015,1,2,4,265,7,0,1,257
2015,1,2,5,267,9,0,2,256
2015,1,2,6,87,4,0,0,83
2015,1,2,7,69,6,0,0,63
2015,1,2,8,67,4,0,1,62
2015,1,2,9,60,6,0,0,54
2015,1,2,10,159,10,0,0,149
2015,1,2,11,289,18,1,1,270
2015,1,2,12,500,28,1,4,468
2015,1,2,13,737,43,1,7,687
2015,1,2,14,847,49,4,6,792
2015,1,2,15,1066,53,2,11,1002
2015,1,2,16,1165,54,3,17,1094
2015,1,2,17,741,64,1,20,657
2015,1,2,18,916,49,2,16,851
2015,1,2,19,743,56,3,29,658
2015,1,2,20,801,58,1,4,739
2015,1,2,21,716,36,2,5,675
2015,1,2,22,781,51,1,13,717
2015,1,2,23,708,41,0,7,660
2015,1,3,0,735,39,4,3,693
2015,1,3,1,781,26,2,9,746
2015,1,3,2,596,49,1,2,545
2015,1,3,3,481,64,2,2,415
2015,1,3,4,368,15,0,5,348
2015,1,3,5,191,10,1,3,178
2015,1,3,6,111,5,0,2,104
2015,1,3,7,69,5,0,2,62
2015,1,3,8,54,5,0,0,49
2015,1,3,9,79,5,0,0,74
2015,1,3,10,138,15,1,1,122
2015,1,3,11,256,25,0,0,231
2015,1,3,12,416,23,0,7,386
2015,1,3,13,625,32,1,4,589
2015,1,3,14,643,33,2,5,605
2015,1,3,15,686,49,1,9,628
2015,1,3,16,576,43,5,1,532
2015,1,3,17,719,55,2,4,660
2015,1,3,18,611,46,0,6,559
2015,1,3,19,617,54,2,5,558
2015,1,3,20,579,44,0,4,531
2015,1,3,21,557,25,0,2,530
2015,1,3,22,548,41,0,0,507
2015,1,3,23,582,39,1,5,538
2015,1,4,0,621,45,4,2,574
2015,1,4,1,680,36,1,4,640
2015,1,4,2,537,31,1,2,504
2015,1,4,3,438,23,2,0,415
2015,1,4,4,292,16,0,1,275
2015,1,4,5,172,8,0,0,164
2015,1,4,6,161,7,0,1,153
2015,1,4,7,69,5,0,0,64
2015,1,4,8,38,4,0,0,34
2015,1,4,9,46,1,0,0,45
2015,1,4,10,90,9,0,2,79
2015,1,4,11,192,17,1,0,175
2015,1,4,12,307,18,1,1,288
2015,1,4,13,469,46,0,3,420
2015,1,4,14,601,31,0,0,570
2015,1,4,15,636,37,0,2,597
2015,1,4,16,589,47,2,7,535
2015,1,4,17,594,43,1,2,549
2015,1,4,18,591,49,2,5,537
2015,1,4,19,607,42,1,4,561
2015,1,4,20,566,32,0,3,531
2015,1,4,21,719,41,0,4,674
2015,1,4,22,637,44,3,5,588
2015,1,4,23,640,49,1,6,585
2015,1,5,0,747,47,3,7,693
2015,1,5,1,681,46,3,7,628
2015,1,5,2,537,30,0,5,502
2015,1,5,3,476,30,0,4,442
2015,1,5,4,274,11,1,3,260
2015,1,5,5,159,15,1,0,144
2015,1,5,6,97,2,0,0,95
2015,1,5,7,56,3,1,0,53
2015,1,5,8,131,0,0,0,131
2015,1,5,9,91,4,1,1,86
2015,1,5,10,214,10,0,3,201
2015,1,5,11,461,33,2,4,424
2015,1,5,12,612,51,3,13,548
2015,1,5,13,1085,63,3,12,1010
2015,1,5,14,1170,77,1,10,1083
2015,1,5,15,1163,99,4,5,1059
2015,1,5,16,1145,61,2,12,1072
2015,1,5,17,1283,94,2,25,1164
2015,1,5,18,1017,63,0,23,931
2015,1,5,19,1276,75,2,20,1181
2015,1,5,20,945,62,1,16,867
2015,1,5,21,935,53,2,7,875
2015,1,5,22,965,72,3,12,881
2015,1,5,23,979,58,5,13,908
2015,1,6,0,810,64,3,9,737
2015,1,6,1,815,50,1,10,755
2015,1,6,2,646,32,3,10,604
2015,1,6,3,447,30,2,6,411
2015,1,6,4,368,12,1,4,352
2015,1,6,5,175,10,1,8,157
2015,1,6,6,77,5,1,5,67
2015,1,6,7,59,5,1,1,53
2015,1,6,8,47,1,0,1,45
2015,1,6,9,115,3,0,2,110
2015,1,6,10,274,21,3,5,248
2015,1,6,11,471,25,0,4,442
2015,1,6,12,835,54,0,11,770
2015,1,6,13,975,49,2,7,919
2015,1,6,14,1218,60,2,14,1144
2015,1,6,15,1197,62,0,16,1119
2015,1,6,16,1328,68,4,22,1238
2015,1,6,17,1359,55,4,34,1270
2015,1,6,18,1328,63,0,27,1238
2015,1,6,19,1042,50,1,35,957
2015,1,6,20,850,45,4,12,793
2015,1,6,21,890,52,2,9,829
2015,1,6,22,1012,56,1,19,937
2015,1,6,23,991,58,0,10,923
2015,1,7,0,1061,71,1,10,980
2015,1,7,1,767,51,1,12,704
2015,1,7,2,699,30,2,6,663
2015,1,7,3,474,26,0,5,443
2015,1,7,4,343,16,1,3,324
2015,1,7,5,174,15,0,4,155
2015,1,7,6,99,9,0,3,87
2015,1,7,7,75,7,0,0,68
2015,1,7,8,70,11,0,0,59
2015,1,7,9,125,7,0,0,118
2015,1,7,10,244,14,0,3,227
2015,1,7,11,482,23,1,4,455
2015,1,7,12,773,41,3,8,724
2015,1,7,13,1014,62,2,7,945
2015,1,7,14,1031,52,2,16,963
2015,1,7,15,1071,55,0,8,1008
2015,1,7,16,1133,52,0,12,1069
2015,1,7,17,1329,70,2,15,1244
2015,1,7,18,1330,55,1,14,1261
2015,1,7,19,997,57,3,14,926
2015,1,7,20,937,68,2,16,853
2015,1,7,21,862,59,0,11,792
2015,1,7,22,918,54,1,19,845
2015,1,7,23,868,51,3,4,813
2015,1,8,0,836,75,2,13,748
2015,1,8,1,801,37,3,9,755
2015,1,8,2,606,26,1,10,570
2015,1,8,3,366,25,1,4,337
2015,1,8,4,271,19,2,0,252
2015,1,8,5,177,14,0,3,160
2015,1,8,6,77,7,0,2,68
2015,1,8,7,62,5,0,2,55
2015,1,8,8,55,3,0,0,52
2015,1,8,9,154,9,0,2,143
2015,1,8,10,312,15,0,2,295
2015,1,8,11,477,29,0,4,444
2015,1,8,12,663,48,1,12,603
2015,1,8,13,1034,52,1,12,970
2015,1,8,14,1222,62,2,12,1148
2015,1,8,15,1140,65,4,15,1060
2015,1,8,16,1141,59,2,11,1071
2015,1,8,17,1064,60,3,9,995
2015,1,8,18,1149,75,5,9,1065
2015,1,8,19,1109,66,2,10,1033
2015,1,8,20,964,56,2,6,902
2015,1,8,21,790,39,1,8,743
2015,1,8,22,852,52,1,7,793
2015,1,8,23,842,42,1,6,794
2015,1,9,0,853,41,2,4,808
2015,1,9,1,848,54,1,17,777
2015,1,9,2,689,31,0,27,631
2015,1,9,3,454,20,1,20,414
2015,1,9,4,408,15,0,2,391
2015,1,9,5,129,6,0,1,122
2015,1,9,6,105,9,0,0,96
2015,1,9,7,110,5,0,0,105
2015,1,9,8,101,4,1,0,97
2015,1,9,9,133,6,1,0,127
2015,1,9,10,319,14,0,3,302
2015,1,9,11,553,31,1,3,519
2015,1,9,12,894,46,1,6,842
2015,1,9,13,1014,65,1,7,942
2015,1,9,14,1078,68,2,12,998
2015,1,9,15,1233,48,0,17,1168
2015,1,9,16,1199,61,4,22,1116
2015,1,9,17,1225,58,7,65,1102
2015,1,9,18,1211,61,3,58,1092
2015,1,9,19,1040,51,3,53,936
2015,1,9,20,862,34,5,27,801
2015,1,9,21,700,49,5,14,637
2015,1,9,22,584,42,1,7,535
2015,1,9,23,789,35,1,12,742
2015,1,10,0,619,31,0,9,579
2015,1,10,1,618,32,2,5,581
2015,1,10,2,402,18,1,1,383
2015,1,10,3,348,11,1,2,335
2015,1,10,4,269,9,1,1,259
2015,1,10,5,116,8,0,2,106
2015,1,10,6,83,3,0,0,80
2015,1,10,7,61,5,0,2,54
2015,1,10,8,54,0,0,0,54
2015,1,10,9,133,8,0,2,123
2015,1,10,10,173,7,0,0,166
2015,1,10,11,355,25,1,0,330
2015,1,10,12,486,25,0,2,459
2015,1,10,13,701,32,1,7,662
2015,1,10,14,683,31,0,2,650
2015,1,10,15,754,27,0,3,724
2015,1,10,16,651,32,0,17,602
2015,1,10,17,757,28,0,46,683
2015,1,10,18,637,41,4,20,576
2015,1,10,19,587,26,2,29,532
2015,1,10,20,655,34,0,5,616
2015,1,10,21,574,42,5,22,510
2015,1,10,22,678,26,2,25,627
2015,1,10,23,655,22,1,20,613
2015,1,11,0,505,26,0,14,465
2015,1,11,1,446,30,0,7,409
2015,1,11,2,417,11,0,7,399
2015,1,11,3,293,16,0,2,275
2015,1,11,4,257,23,0,1,233
2015,1,11,5,121,3,0,1,117
2015,1,11,6,76,3,0,0,73
2015,1,11,7,45,3,0,0,42
2015,1,11,8,71,6,0,0,65
2015,1,11,9,55,6,0,0,49
2015,1,11,10,79,3,1,0,76
2015,1,11,11,150,10,1,1,139
2015,1,11,12,379,9,0,2,368
2015,1,11,13,342,19,0,2,321
2015,1,11,14,469,23,0,4,442
2015,1,11,15,510,38,1,4,468
2015,1,11,16,546,29,0,3,514
2015,1,11,17,693,33,1,3,657
2015,1,11,18,620,37,0,1,582
2015,1,11,19,544,31,0,1,512
2015,1,11,20,653,30,0,2,621
2015,1,11,21,626,26,0,5,595
2015,1,11,22,570,27,0,3,540
2015,1,11,23,621,40,0,7,574
2015,1,12,0,619,29,0,3,587
2015,1,12,1,534,27,4,2,505
2015,1,12,2,489,23,1,2,464
2015,1,12,3,368,22,0,1,345
2015,1,12,4,248,17,1,5,226
2015,1,12,5,153,11,0,3,139
2015,1,12,6,103,6,0,0,97
2015,1,12,7,58,5,0,0,53
2015,1,12,8,63,2,0,2,59
2015,1,12,9,104,5,0,1,98
2015,1,12,10,280,10,1,3,267
2015,1,12,11,433,23,0,2,408
2015,1,12,12,799,40,1,7,752
2015,1,12,13,974,60,5,7,907
2015,1,12,14,949,41,0,8,900
2015,1,12,15,983,55,5,7,921
2015,1,12,16,1017,60,2,19,938
2015,1,12,17,1225,56,3,16,1153
2015,1,12,18,1363,62,4,15,1286
2015,1,12,19,1056,45,6,22,989
2015,1,12,20,776,51,1,14,711
2015,1,12,21,754,67,4,12,675
2015,1,12,22,765,45,1,17,703
2015,1,12,23,1024,46,0,53,925
2015,1,13,0,923,63,1,24,836
2015,1,13,1,924,48,6,35,841
2015,1,13,2,615,42,1,12,561
2015,1,13,3,447,26,0,12,409
2015,1,13,4,321,17,0,7,297
2015,1,13,5,123,11,0,3,109
2015,1,13,6,67,8,1,2,57
2015,1,13,7,64,0,0,3,61
2015,1,13,8,96,6,0,2,88
2015,1,13,9,106,6,0,2,98
2015,1,13,10,311,13,0,6,292
2015,1,13,11,491,33,0,7,451
2015,1,13,12,891,37,1,4,850
2015,1,13,13,1294,49,1,7,1238
2015,1,13,14,1098,59,4,13,1026
2015,1,13,15,1447,66,2,13,1368
2015,1,13,16,1460,83,5,27,1350
2015,1,13,17,1466,76,7,73,1317
2015,1,13,18,1271,62,1,24,1185
2015,1,13,19,1083,69,2,9,1005
2015,1,13,20,984,66,1,12,906
2015,1,13,21,1004,56,3,12,936
2015,1,13,22,972,49,6,23,900
2015,1,13,23,932,42,3,17,873
2015,1,14,0,901,42,4,17,842
2015,1,14,1,733,45,3,18,670
2015,1,14,2,707,45,1,5,657
2015,1,14,3,478,31,2,4,443
2015,1,14,4,369,18,0,3,348
2015,1,14,5,215,10,0,1,204
2015,1,14,6,92,4,1,1,87
2015,1,14,7,69,6,0,1,62
2015,1,14,8,35,4,0,1,30
2015,1,14,9,117,7,0,1,109
2015,1,14,10,308,27,0,0,281
2015,1,14,11,498,27,1,4,467
2015,1,14,12,891,51,2,8,832
2015,1,14,13,1283,67,3,17,1199
2015,1,14,14,1273,62,3,9,1202
2015,1,14,15,1267,66,2,7,1194
2015,1,14,16,1320,76,1,5,1239
2015,1,14,17,1093,56,1,9,1028
2015,1,14,18,1099,60,1,17,1022
2015,1,14,19,1155,62,0,17,1076
2015,1,14,20,972,64,0,7,901
2015,1,14,21,859,56,1,12,791
2015,1,14,22,907,51,1,11,845
2015,1,14,23,1118,65,1,11,1042
2015,1,15,0,4205,51,1,8,4146
2015,1,15,1,893,49,0,9,835
2015,1,15,2,654,33,0,8,613
2015,1,15,3,501,25,0,3,473
2015,1,15,4,342,18,1,3,321
2015,1,15,5,166,8,0,1,157
2015,1,15,6,78,3,1,1,74
2015,1,15,7,53,5,1,1,47
2015,1,15,8,74,7,0,0,67
2015,1,15,9,191,8,0,0,183
2015,1,15,10,304,29,2,3,272
2015,1,15,11,507,39,1,3,465
2015,1,15,12,849,59,2,6,784
2015,1,15,13,1292,50,2,17,1225
2015,1,15,14,1056,38,5,11,1007
2015,1,15,15,1151,71,5,11,1069
2015,1,15,16,1299,66,2,15,1218
2015,1,15,17,1085,80,2,11,994
2015,1,15,18,1331,64,5,16,1251
2015,1,15,19,960,65,5,6,889
2015,1,15,20,893,44,1,6,843
2015,1,15,21,895,43,0,6,846
2015,1,15,22,674,46,6,10,618
2015,1,15,23,734,41,1,6,687
2015,1,16,0,655,43,2,7,605
2015,1,16,1,678,32,1,3,643
2015,1,16,2,513,39,2,2,472
2015,1,16,3,503,23,0,0,480
2015,1,16,4,196,16,0,4,176
2015,1,16,5,152,8,0,1,143
2015,1,16,6,71,2,0,5,64
2015,1,16,7,65,8,1,1,56
2015,1,16,8,113,0,0,0,113
2015,1,16,9,81,3,0,1,77
2015,1,16,10,303,25,0,1,277
2015,1,16,11,545,19,0,8,518
2015,1,16,12,904,52,5,10,842
2015,1,16,13,1219,63,0,15,1141
2015,1,16,14,1177,52,1,11,1114
2015,1,16,15,1203,50,2,8,1145
2015,1,16,16,1429,58,7,13,1358
2015,1,16,17,1308,75,3,8,1225
2015,1,16,18,1237,66,2,8,1163
2015,1,16,19,1100,69,3,7,1024
2015,1,16,20,912,44,4,11,857
2015,1,16,21,784,44,1,6,734
2015,1,16,22,708,51,2,10,647
2015,1,16,23,819,47,2,11,761
2015,1,17,0,1083,41,3,15,1027
2015,1,17,1,704,34,1,11,659
2015,1,17,2,577,43,2,9,525
2015,1,17,3,441,23,2,2,416
2015,1,17,4,296,10,0,3,283
2015,1,17,5,156,8,0,3,145
2015,1,17,6,109,7,0,1,101
2015,1,17,7,87,2,0,1,84
2015,1,17,8,44,3,0,1,40
2015,1,17,9,87,1,0,1,85
2015,1,17,10,269,15,0,2,252
2015,1,17,11,392,19,0,4,369
2015,1,17,12,624,29,0,5,590
2015,1,17,13,846,52,2,5,789
2015,1,17,14,905,58,0,7,840
2015,1,17,15,1013,58,2,4,951
2015,1,17,16,887,35,1,5,847
2015,1,17,17,761,54,1,3,704
2015,1,17,18,755,23,1,2,730
2015,1,17,19,706,30,1,8,668
2015,1,17,20,623,32,1,9,582
2015,1,17,21,576,31,1,4,541
2015,1,17,22,2106,31,1,5,2070
2015,1,17,23,1854,26,2,4,1824
2015,1,18,0,2249,36,4,7,2206
2015,1,18,1,1071,27,3,6,1038
2015,1,18,2,565,24,0,15,526
2015,1,18,3,507,26,10,10,471
2015,1,18,4,361,18,6,6,337
2015,1,18,5,714,7,0,3,704
2015,1,18,6,98,3,0,1,94
2015,1,18,7,73,6,0,2,65
2015,1,18,8,37,0,0,0,37
2015,1,18,9,53,5,0,2,46
2015,1,18,10,142,12,2,4,126
2015,1,18,11,212,13,1,2,197
2015,1,18,12,314,18,0,7,289
2015,1,18,13,484,30,2,3,451
2015,1,18,14,649,24,3,13,612
2015,1,18,15,574,36,3,8,530
2015,1,18,16,700,46,3,3,651
2015,1,18,17,740,40,1,5,695
2015,1,18,18,811,46,8,9,756
2015,1,18,19,672,29,1,8,635
2015,1,18,20,766,35,1,10,721
2015,1,18,21,740,26,5,10,704
2015,1,18,22,757,28,0,12,717
2015,1,18,23,821,27,0,4,790
2015,1,19,0,663,42,3,8,613
2015,1,19,1,894,45,2,7,842
2015,1,19,2,639,32,2,8,599
2015,1,19,3,446,17,1,1,428
2015,1,19,4,340,21,2,2,317
2015,1,19,5,194,4,0,3,187
2015,1,19,6,78,7,0,2,69
2015,1,19,7,70,2,0,1,67
2015,1,19,8,47,3,0,0,44
2015,1,19,9,99,10,0,0,89
2015,1,19,10,268,13,0,3,252
2015,1,19,11,548,30,4,2,516
2015,1,19,12,958,52,0,12,894
2015,1,19,13,1069,52,1,9,1008
2015,1,19,14,1016,72,0,11,933
2015,1,19,15,1358,58,4,9,1291
2015,1,19,16,1305,79,3,12,1214
2015,1,19,17,1348,85,2,8,1255
2015,1,19,18,1227,82,5,22,1123
2015,1,19,19,1282,65,3,11,1206
2015,1,19,20,1106,51,1,6,1049
2015,1,19,21,962,48,4,4,910
2015,1,19,22,1028,55,1,4,969
2015,1,19,23,943,48,1,10,885
2015,1,20,0,847,55,2,5,787
2015,1,20,1,943,59,1,12,872
2015,1,20,2,757,49,1,6,702
2015,1,20,3,515,19,0,4,492
2015,1,20,4,233,10,0,2,221
2015,1,20,5,156,10,1,1,145
2015,1,20,6,85,4,1,0,81
2015,1,20,7,35,0,0,0,35
2015,1,20,8,49,3,0,0,46
2015,1,20,9,180,2,0,0,178
2015,1,20,10,318,17,0,3,298
2015,1,20,11,576,28,0,8,540
2015,1,20,12,936,39,3,8,889
2015,1,20,13,1160,46,2,9,1105
2015,1,20,14,1184,66,2,5,1113
2015,1,20,15,1307,71,2,13,1223
2015,1,20,16,1403,71,3,12,1320
2015,1,20,17,1318,65,1,16,1237
2015,1,20,18,1173,59,0,23,1091
2015,1,20,19,1214,49,2,31,1134
2015,1,20,20,897,44,1,11,842
2015,1,20,21,836,48,1,11,777
2015,1,20,22,838,58,1,11,769
2015,1,20,23,982,52,4,37,893
2015,1,21,0,926,71,0,14,841
2015,1,21,1,924,52,1,5,867
2015,1,21,2,689,44,3,8,637
2015,1,21,3,476,29,1,9,438
2015,1,21,4,299,22,1,5,272
2015,1,21,5,163,9,0,5,149
2015,1,21,6,100,2,0,0,98
2015,1,21,7,79,5,0,1,73
2015,1,21,8,58,3,0,1,54
2015,1,21,9,159,11,0,2,146
2015,1,21,10,299,20,0,2,277
2015,1,21,11,615,28,1,9,578
2015,1,21,12,1046,71,3,10,965
2015,1,21,13,1152,65,3,13,1074
2015,1,21,14,1147,76,4,36,1035
2015,1,21,15,1277,81,8,36,1160
2015,1,21,16,1262,73,4,24,1165
2015,1,21,17,1218,80,2,35,1103
2015,1,21,18,1194,65,5,50,1079
2015,1,21,19,1246,77,3,32,1137
2015,1,21,20,1181,68,2,31,1082
2015,1,21,21,940,50,4,16,874
2015,1,21,22,1101,47,5,20,1034
2015,1,21,23,1078,43,1,22,1013
2015,1,22,0,964,58,3,18,888
2015,1,22,1,812,45,3,27,740
2015,1,22,2,682,43,2,16,623
2015,1,22,3,539,31,3,8,500
2015,1,22,4,293,17,1,2,274
2015,1,22,5,210,6,0,1,203
2015,1,22,6,67,3,0,0,64
2015,1,22,7,101,4,0,2,95
2015,1,22,8,65,8,0,1,56
2015,1,22,9,126,7,0,3,116
2015,1,22,10,311,25,2,2,284
2015,1,22,11,526,30,0,10,486
2015,1,22,12,938,54,4,25,859
2015,1,22,13,1284,71,1,24,1189
2015,1,22,14,1233,78,3,16,1139
2015,1,22,15,1157,72,4,25,1060
2015,1,22,16,1129,70,4,19,1040
2015,1,22,17,1340,71,1,13,1256
2015,1,22,18,1240,58,3,11,1171
2015,1,22,19,1385,65,0,6,1314
2015,1,22,20,985,59,6,6,920
2015,1,22,21,884,47,0,9,828
2015,1,22,22,873,68,2,9,796
2015,1,22,23,826,44,1,13,769
2015,1,23,0,845,59,2,16,770
2015,1,23,1,759,35,0,9,715
2015,1,23,2,693,36,2,10,647
2015,1,23,3,448,37,1,4,407
2015,1,23,4,246,23,0,2,221
2015,1,23,5,154,7,0,0,147
2015,1,23,6,60,5,0,0,55
2015,1,23,7,68,4,0,1,63
2015,1,23,8,53,3,0,2,48
2015,1,23,9,125,10,0,0,115
2015,1,23,10,372,17,0,4,351
2015,1,23,11,534,40,3,6,488
2015,1,23,12,919,45,1,12,862
2015,1,23,13,1069,82,5,12,975
2015,1,23,14,1202,61,1,14,1127
2015,1,23,15,1147,57,1,6,1084
2015,1,23,16,1315,74,4,8,1233
2015,1,23,17,1259,66,2,13,1180
2015,1,23,18,1037,68,1,23,946
2015,1,23,19,1048,57,2,18,973
2015,1,23,20,945,57,1,10,878
2015,1,23,21,758,52,0,11,695
2015,1,23,22,792,52,1,13,727
2015,1,23,23,797,42,1,10,745
2015,1,24,0,748,39,2,10,699
2015,1,24,1,619,38,1,11,570
2015,1,24,2,496,24,0,7,465
2015,1,24,3,377,30,2,3,344
2015,1,24,4,275,4,0,1,270
2015,1,24,5,177,14,1,1,162
2015,1,24,6,87,7,0,2,78
2015,1,24,7,53,8,0,0,45
2015,1,24,8,86,8,0,0,78
2015,1,24,9,97,13,0,1,83
2015,1,24,10,201,9,0,1,191
2015,1,24,11,331,32,1,2,297
2015,1,24,12,427,26,0,7,394
2015,1,24,13,717,42,2,8,667
2015,1,24,14,900,43,0,10,847
2015,1,24,15,629,33,0,4,592
2015,1,24,16,731,37,2,4,690
2015,1,24,17,740,46,1,3,691
2015,1,24,18,854,40,0,5,809
2015,1,24,19,688,29,3,7,652
2015,1,24,20,722,34,3,7,681
2015,1,24,21,609,41,3,8,560
2015,1,24,22,687,43,2,2,642
2015,1,24,23,634,22,0,8,604
2015,1,25,0,567,34,1,7,526
2015,1,25,1,601,23,0,6,572
2015,1,25,2,513,22,1,6,485
2015,1,25,3,383,20,0,7,356
2015,1,25,4,266,17,0,1,248
2015,1,25,5,256,9,0,1,246
2015,1,25,6,124,7,0,2,115
2015,1,25,7,53,3,0,2,48
2015,1,25,8,43,1,0,1,41
2015,1,25,9,62,3,0,0,59
2015,1,25,10,101,6,1,2,93
2015,1,25,11,239,15,0,3,221
2015,1,25,12,348,14,1,1,333
2015,1,25,13,449,25,2,4,420
2015,1,25,14,494,30,3,8,456
2015,1,25,15,640,36,4,9,595
2015,1,25,16,752,33,2,3,716
2015,1,25,17,588,29,0,2,557
2015,1,25,18,647,39,1,4,604
2015,1,25,19,578,43,1,5,530
2015,1,25,20,697,36,1,4,657
2015,1,25,21,776,33,0,10,733
2015,1,25,22,657,43,1,3,611
2015,1,25,23,642,23,2,8,611
2015,1,26,0,679,42,3,16,621
2015,1,26,1,717,42,1,9,666
2015,1,26,2,584,29,0,6,549
2015,1,26,3,486,18,1,4,464
2015,1,26,4,225,12,1,6,207
2015,1,26,5,210,13,0,1,196
2015,1,26,6,108,2,0,2,104
2015,1,26,7,175,6,0,1,168
2015,1,26,8,45,1,0,0,44
2015,1,26,9,89,9,0,0,80
2015,1,26,10,249,13,2,0,236
2015,1,26,11,475,23,0,6,446
2015,1,26,12,752,46,4,7,699
2015,1,26,13,1003,59,3,10,934
2015,1,26,14,1013,57,0,9,947
2015,1,26,15,1148,65,1,16,1067
2015,1,26,16,1166,61,1,10,1095
2015,1,26,17,1113,75,3,17,1021
2015,1,26,18,1198,82,3,11,1105
2015,1,26,19,1188,59,1,9,1120
2015,1,26,20,1005,60,2,18,927
2015,1,26,21,944,58,4,14,872
2015,1,26,22,875,41,2,10,824
2015,1,26,23,1073,16,0,2,1055
2015,1,27,0,973,41,0,9,923
2015,1,27,1,869,60,4,7,802
2015,1,27,2,659,48,0,7,604
2015,1,27,3,436,21,1,8,407
2015,1,27,4,283,7,0,6,270
2015,1,27,5,1528,9,1,4,1515
2015,1,27,6,992,4,0,1,987
2015,1,27,7,38,5,0,0,33
2015,1,27,8,62,6,1,1,55
2015,1,27,9,141,6,0,0,135
2015,1,27,10,315,21,0,4,290
2015,1,27,11,548,27,1,6,515
2015,1,27,12,876,44,1,7,825
2015,1,27,13,1056,68,1,9,979
2015,1,27,14,1250,78,3,14,1158
2015,1,27,15,1062,85,2,14,963
2015,1,27,16,1164,60,2,11,1093
2015,1,27,17,1363,91,8,15,1257
2015,1,27,18,1268,72,3,12,1184
2015,1,27,19,1309,79,2,13,1217
2015,1,27,20,1060,60,1,15,985
2015,1,27,21,966,54,0,12,900
2015,1,27,22,1042,52,2,12,978
2015,1,27,23,964,61,2,18,885
2015,1,28,0,947,55,1,6,886
2015,1,28,1,903,51,1,11,841
2015,1,28,2,754,47,1,8,699
2015,1,28,3,570,35,1,2,533
2015,1,28,4,244,20,0,3,221
2015,1,28,5,214,15,1,3,196
2015,1,28,6,131,8,0,2,121
2015,1,28,7,97,5,0,1,91
2015,1,28,8,57,4,0,1,52
2015,1,28,9,140,6,0,1,133
2015,1,28,10,304,19,3,6,279
2015,1,28,11,547,29,2,8,510
2015,1,28,12,905,45,5,18,842
2015,1,28,13,991,61,6,19,911
2015,1,28,14,1394,82,3,20,1292
2015,1,28,15,1285,79,8,18,1188
2015,1,28,16,1246,72,3,40,1134
2015,1,28,17,1441,77,6,84,1280
2015,1,28,18,1486,108,2,47,1331
2015,1,28,19,1152,63,6,22,1067
2015,1,28,20,1065,55,0,23,987
2015,1,28,21,1030,57,4,13,960
2015,1,28,22,1146,69,5,13,1064
2015,1,28,23,1176,65,2,6,1105
2015,1,29,0,1048,79,2,17,952
2015,1,29,1,1163,48,2,37,1078
2015,1,29,2,757,40,1,22,695
2015,1,29,3,580,27,0,3,550
2015,1,29,4,365,10,1,11,344
2015,1,29,5,261,15,0,3,243
2015,1,29,6,99,4,0,2,93
2015,1,29,7,49,2,0,0,47
2015,1,29,8,63,2,0,0,61
2015,1,29,9,116,7,1,1,108
2015,1,29,10,345,20,0,4,321
2015,1,29,11,639,38,9,10,591
2015,1,29,12,872,47,3,17,808
2015,1,29,13,976,61,3,16,899
2015,1,29,14,1177,66,0,5,1106
2015,1,29,15,1255,70,1,17,1168
2015,1,29,16,1400,75,1,17,1308
2015,1,29,17,1305,88,8,58,1159
2015,1,29,18,1197,68,3,57,1072
2015,1,29,19,1189,72,4,36,1081
2015,1,29,20,1049,60,6,43,946
2015,1,29,21,861,62,5,38,761
2015,1,29,22,948,56,5,38,854
2015,1,29,23,997,51,1,45,901
2015,1,30,0,901,51,3,42,808
2015,1,30,1,808,42,2,32,734
2015,1,30,2,579,34,0,12,533
2015,1,30,3,730,34,0,11,685
2015,1,30,4,258,15,0,4,239
2015,1,30,5,216,13,0,2,201
2015,1,30,6,76,8,0,1,67
2015,1,30,7,49,2,0,0,47
2015,1,30,8,87,9,0,1,77
2015,1,30,9,171,7,0,0,164
2015,1,30,10,333,13,0,5,315
2015,1,30,11,555,47,3,5,503
2015,1,30,12,745,52,2,13,680
2015,1,30,13,1090,70,3,7,1013
2015,1,30,14,993,75,3,8,910
2015,1,30,15,994,57,1,10,927
2015,1,30,16,1002,73,2,11,918
2015,1,30,17,1011,53,2,13,945
2015,1,30,18,970,69,1,6,895
2015,1,30,19,907,61,0,13,833
2015,1,30,20,956,49,2,19,888
